priority,week,category,action,detail,resource,estimated_time,status
1,Week 1,Phone Call,Call Carson & Trotter re broken SSL,"Call Dumfries reception and ask for partner G K Gray / L Brannock / S Harman. Say: 'I tried to visit your website and it's showing a browser security warning to every visitor — I wanted to flag it before it costs you new client enquiries.' Offer emergency fix + full rebuild. Phone: find via carsontrotter.co.uk or 01387 area directories. Website: carsontrotter.co.uk currently SSL broken.",market-intelligence/partnership-emails.md Email 3 + market-intelligence/07-prospect-hot-list.md #8,20,Pending
1,Week 1,Phone Call,Call Ian Lewis Plumber re mobile site,"Call Ian Lewis direct. Say: 'I was searching for a plumber in Auldgirth on my phone this morning — your name came up but the website doesn't display properly on mobile. I can fix that for under £1,000.' Show site on phone in person if you can visit. Business: ianlewisplumber.co.uk | Location: Auldgirth DG1 | Score 9.4/10.",market-intelligence/07-prospect-hot-list.md #1 + market-intelligence/11-ninety-day-sales-plan.md Week 3-4,15,Pending
1,Week 1,Phone Call,Call McRobert Plumbing re no contact form,"Call McRobert Plumbing in Dumfries. Say: 'I was looking at your site and noticed there's no contact form — just a phone and fax number. I build trade websites with a proper enquiry form for under £900.' The fax number is the conversation opener. Business: mcrobertplumbing.co.uk | Location: Dumfries | Score 8.4/10.",market-intelligence/07-prospect-hot-list.md #12 + market-intelligence/11-ninety-day-sales-plan.md Week 3-4,15,Pending
1,Week 1,Phone Call,Call Brighouse Bay Trekking re broken site,"Call Brighouse Bay Trekking in Kirkcudbright. Say: 'Your website is running on a platform from 2009 — no pricing, no booking, two low-res images. You're sitting next to a 5-star holiday park and invisible online. I can fix that.' Business: brighousebaytrekking.weebly.com | Location: Brighouse Bay Kirkcudbright | Score 9.3/10.",market-intelligence/07-prospect-hot-list.md #2,15,Pending
1,Week 1,Admin,Register Nith Digital on Google Business Profile,"Go to business.google.com. Create/claim listing. Category: 'Web Designer' (primary) + 'Internet Marketing Service' (secondary). Write 750-char description with keywords: web design Dumfries, website design Dumfries and Galloway. Upload 5+ photos. Enable messaging. Add services: Website Design, Hosting, SEO, Power BI, Booking Systems. Verify by postcard or phone. This is the single most important listing.",market-intelligence/directory-submissions.md #1 + market-intelligence/11-ninety-day-sales-plan.md Weeks 1-2,180,Pending
1,Week 1,Admin,Set up Bark.com professional profile,"Go to bark.com/en/gb/pro/ and register as a professional. Select 'Web Designer' AND 'Digital Marketing' as categories. Set location radius to cover all of D&G. Upload 2 portfolio examples with before/after descriptions. Profile bio must mention D&G specifically. Buy first £30 credit top-up to respond to leads. Webmill (your closest competitor) is already listed here and receiving leads.",market-intelligence/directory-submissions.md #2,30,Pending
1,Week 1,Directory,Register on Yell.com (free listing),"Go to yell.com/uklisting/ and create a free business listing under 'Web Design Services' for Dumfries & Galloway. Add 200-word description with natural mentions of 'web design Dumfries' and 'web designer D&G'. Upload logo and one portfolio image. Decline paid upgrade. Both Webmill and Creatomatic are listed here — you must be here too.",market-intelligence/directory-submissions.md #3,20,Pending
1,Week 1,Directory,Register on FreeIndex.co.uk,"Go to freeindex.co.uk/register/ and create a profile in 'Web Designers' category for Dumfries & Galloway. Add full services list: website design, SEO, hosting, Power BI, booking systems. Include link to nithdigital.uk/quote. High domain authority — listing helps Nith Digital appear in Google results. Both Creatomatic and Webmill listed here already.",market-intelligence/directory-submissions.md #4,15,Pending
1,Week 1,Admin,Create LinkedIn Company Page for Nith Digital,"Go to linkedin.com/company/setup/new. Add professional banner (1128x191px — D&G landscape or branded graphic). Write 200-word About section: what Nith Digital does, who for, where based. Add website nithdigital.uk, location Dumfries & Galloway Scotland, company size 1-10, industry Internet. Post intro post immediately. Connect with D&G Chamber, SOSE, and Business Gateway contacts.",market-intelligence/directory-submissions.md #12,30,Pending
1,Week 1,Content,Post Week 1 GBP post — Service Spotlight,"Go to business.google.com and post the Week 1 Update. Copy text exactly from gbp-post-schedule.md Week 1. Topic: 'What we do' intro to Nith Digital. Image: clean screenshot of nithdigital.uk homepage on laptop/phone or Nith Valley photo. Post on Tuesday or Wednesday at 9am. This is your first GBP post — establishes Nith Digital as an active, posting business.",market-intelligence/gbp-post-schedule.md Week 1,15,Pending
1,Week 1,Networking,Join D&G Chamber of Commerce as member,"Go to dgchamber.co.uk/join and apply for membership. Cost: approx £120-180/year depending on business size. Membership gives: supplier directory listing, networking events access, referral network, credibility with local businesses. Check their April/May events calendar immediately on joining. 'I'm a Chamber member' opens doors that cold messages don't.",market-intelligence/directory-submissions.md #7 + market-intelligence/11-ninety-day-sales-plan.md Weeks 1-2,30,Pending
1,Week 1,Admin,Register with Business Gateway D&G as supplier,"Go to bgateway.com/local-offices/dumfries-galloway and contact the adviser team directly by phone or email. Say you want to become a recommended digital supplier for their SME clients. Offer: free website audit + free 30-min consultation for any referred business. BG advisers recommend suppliers to the SMEs they support — this is a relationship, not just a directory listing.",market-intelligence/directory-submissions.md #8 + market-intelligence/partnership-emails.md Email 1,30,Pending
1,Week 1,Partnership,Send Business Gateway D&G partnership email,"Send Email 1 from partnership-emails.md to the Business Gateway D&G adviser team (contact found at bgateway.com/local-offices/dumfries-galloway). Subject: 'Local web design supplier — would be glad to support your clients'. Replace 07[xxx] with your actual mobile before sending. Keep a record of send date in directory-submissions.md tracker.",market-intelligence/partnership-emails.md Email 1,10,Pending
1,Week 1,Partnership,Send SOSE Digital Boost adviser application,"Send Email 2 from partnership-emails.md to Digital Boost programme team at digitalboost.scot or SOSE directly. Subject: 'Digital Boost adviser application — Nith Digital'. Register as an adviser/mentor. SOSE covers South of Scotland — Nith Digital's exact geographic market. Advisers get visibility across the SOSE network and recommended to participating businesses.",market-intelligence/partnership-emails.md Email 2 + market-intelligence/directory-submissions.md #9,10,Pending
1,Week 1,Partnership,Send Carson & Trotter SSL warning email,"Send Email 3 from partnership-emails.md to Carson & Trotter. Address to a named partner if possible: G K Gray, L Brannock, or S Harman. Check carsontrotter.co.uk is still broken before sending (SSL mismatch verified April 2026). Subject: 'Your website is showing a security warning to visitors'. Use as follow-up if phone call (Priority row above) doesn't get through. Replace 07[xxx] first.",market-intelligence/partnership-emails.md Email 3,10,Pending
1,Week 1,Partnership,Send photographer referral partner email,"Send Email 4 from partnership-emails.md to a local D&G professional photographer. Fill in [photographer name] and [their website/business name] before sending. Subject: 'Mutual referral idea — web design and photography'. Simple two-way referral arrangement: you recommend them to website clients who need photos; they recommend you when clients need a website. No money changes hands.",market-intelligence/partnership-emails.md Email 4,10,Pending
1,Week 1,Partnership,Send IT support referral partner email,"Send Email 5 from partnership-emails.md to DC Systems or another local IT support firm in D&G. Fill in [company name] and [contact name] before sending. Subject: 'Referral partnership — web design and IT support'. Two-way referral: you send IT issues their way, they send website enquiries to you. Offer coffee in Dumfries or Sanquhar if easier than email.",market-intelligence/partnership-emails.md Email 5,10,Pending
1,Week 1,Social Media,Join all 6 Facebook business groups,"Join all 6 D&G groups: (1) 'Dumfries & Galloway Business Network', (2) 'Business in D&G', (3) 'Support Local Dumfries', (4) 'Dumfries & Galloway Community Forum', (5) 'Nithsdale Business & Community', (6) 'D&G Trades & Local Services'. Find each via Facebook > Groups > search using terms in facebook-engagement-plan.md. Only join groups with 200+ members and active recent posts. Do NOT post yet this week — observe only.",market-intelligence/facebook-engagement-plan.md Top 6 Groups,20,Pending
1,Week 1,Admin,Review and run referral activation script,"Open scripts/send-referral-activation.ts and read it fully before running. Then run: npx ts-node scripts/send-referral-activation.ts --send from the project root. This sends referral activation emails to existing users. Do not run without reviewing the script content and checking the recipient list first.",scripts/send-referral-activation.ts,30,Pending
1,Week 2,Cold Email,Send Trades cold email batch — first send,"Send Email 1 (Trades sequence) to: Ian Lewis Plumber (ianlewisplumber.co.uk, Auldgirth DG1), McRobert Plumbing (mcrobertplumbing.co.uk, Dumfries), Dumfries Electrical Services (dumfrieselectricalservices.co.uk, Amisfield DG1), JLW Joinery (jlwjoinery.com, 6 Rotchell Gardens Dumfries), AM Plumbing Ltd (am-plumbing.co.uk, Dalbeattie DG5). Personalise {{outreach_hook}} for each from the hot list audit notes. Use Streak for open tracking.",market-intelligence/email-sequences.md Trades sequence Email 1 + market-intelligence/07-prospect-hot-list.md,60,Pending
1,Week 2,Cold Email,Send Accommodation cold email batch — first send,"Send Email 1 (Accommodation sequence) to: Ardchoille Guest House (ardchoilleguesthouse.co.uk, Portpatrick DG9), Templand Cottages (templandcottages.co.uk, Thornhill DG3), Lindean Guest House (lindeanguesthouse.co.uk, Dumfries). Subject: 'Direct bookings for [business name]'. Lead with Booking.com 15-20% commission argument. Personalise {{outreach_hook}} per business. Track opens with Streak.",market-intelligence/email-sequences.md Accommodation sequence Email 1 + market-intelligence/07-prospect-hot-list.md,45,Pending
1,Week 2,Cold Email,Send Professional Services cold email batch — first send,"Send Email 1 (Professional Services sequence) to: Rennie Accountants (rennieaccountants.co.uk, Dumfries, Score 8.7), GM Thomson & Co Estate Agents (gmthomson.co.uk, Dumfries, Score 8.8), Bell Ogilvy Chartered Accountants (bellogilvy.co.uk, 36 King Street Castle Douglas DG7, Score 8.0). Personalise {{outreach_hook}} per business using hot list notes. Track with Streak.",market-intelligence/email-sequences.md Professional Services sequence Email 1 + market-intelligence/07-prospect-hot-list.md,45,Pending
1,Week 2,Admin,Register as SOSE Digital Boost adviser,"Go to digitalboost.scot/become-a-mentor/ and complete the adviser registration form. Background to highlight: BI and data + front-end development, working with local D&G SMEs on websites, SEO, and data dashboards. SOSE covers South of Scotland exactly. Advisers get recommended to participating businesses — businesses you advise become conversion opportunities.",market-intelligence/directory-submissions.md #9,30,Pending
1,Week 2,Directory,Register on DesignRush.com agency directory,"Go to designrush.com/agencies/submit and create a free agency profile. Include 2 portfolio examples with screenshots and project descriptions. Add niche: 'Small Business Website Design, Dumfries & Galloway, Scotland'. DesignRush compiles 'best web design agencies' lists by region that rank on Google. Creatomatic already listed here. Takes under 20 minutes.",market-intelligence/directory-submissions.md #6,20,Pending
1,Week 2,Directory,Register on Clutch.co agency directory,"Go to clutch.co/agencies/web-designers/gb and create an agency profile. Only proceed if you have at least 3 clients ready to leave a verified review — an empty Clutch profile does nothing. Add 2-3 case studies with before/after stats, project description, and industry. Clutch will contact your clients to verify reviews (warn them first). Clutch appears page 1 for 'web design agency Scotland'.",market-intelligence/directory-submissions.md #5,60,Pending
1,Week 2,Networking,Attend first D&G Chamber event,"Check dgchamber.co.uk/events for the next available event in April/May 2026. Register and attend. Bring business cards: simple, white, nithdigital.uk on the front. Introduce yourself as 'the guy from Nith Digital — I build websites for local businesses in D&G.' Target: collect 5 business cards from business owners who might need a website. Do not pitch immediately — get names and follow up.",market-intelligence/11-ninety-day-sales-plan.md Weeks 5-6 Networking,120,Pending
2,Week 3,Walk-in Visit,Walk-in pitch to Salon31 Dumfries,"Visit 31 Bank Street Dumfries. Ask to speak to the owner/manager. Demo: pull up their site on your phone and show that 'Book Your Visit' goes only to a contact form — not a booking calendar. Competitor: Nelson Brown Salons has 2,299 Fresha reviews. Pitch: WordPress rebuild with Fresha/Timely integration, stylist profiles, service pricing, Instagram feed. Package: £1,200-1,800. Score 8.9/10 — excellent local access.",market-intelligence/07-prospect-hot-list.md #5,45,Pending
2,Week 3,Walk-in Visit,Walk-in pitch to GM Thomson Estate Agents,"Visit GM Thomson's Dumfries office. Ask to speak to a decision maker. Opening: 'You have four offices, 70 years of reputation, and a website from 2001.' Show their site on a phone — ASP-era, not mobile responsive. Package: £3,000-5,000 for full estate agent platform with property search, valuation tool, area guides. Potential ongoing retainer too. Score 8.8/10. Location: Dumfries.",market-intelligence/07-prospect-hot-list.md #6,45,Pending
2,Week 3,Walk-in Visit,Walk-in pitch to Rennie Accountants Dumfries,"Visit Rennie Accountants office in Dumfries. Pitch: their WordPress site uses a generic theme, no team bios, no testimonials, looks 2012. For a firm that helps businesses grow, a dated site sends the wrong message. Package: £1,800-2,800 redesign with team profiles and blog setup + optional £300/month content/SEO. Strong case for BI dashboard add-on. Score 8.7/10.",market-intelligence/07-prospect-hot-list.md #7,45,Pending
2,Week 3,Walk-in Visit,Walk-in pitch to JLW Joinery Dumfries,"Visit 6 Rotchell Gardens Dumfries. Key asset: they have a portfolio gallery — but no contact form, no testimonials, no SEO content. Pitch: £795 trade site refresh with contact form, testimonials section, and 3 SEO-optimised service pages targeting 'joiner Dumfries', 'bespoke furniture Dumfries', 'kitchen installation D&G'. Show their site vs a Nith Digital template on your phone. Score 8.1/10.",market-intelligence/07-prospect-hot-list.md #15,30,Pending
2,Week 3,Walk-in Visit,Walk-in pitch to Lindean Guest House Dumfries,"Visit Lindean Guest House in Dumfries town — walking distance. They already have FreeToBook integration (good) but run on BaseKit (obsolete platform). Pitch: 'Your booking system is good — let's put it on a proper WordPress site that will rank better, load faster, and cost nothing extra per month.' Package: £1,000-1,500. Score 8.4/10. Easy upgrade story.",market-intelligence/07-prospect-hot-list.md #11,30,Pending
2,Week 3,Walk-in Visit,Walk-in pitch to McRobert Plumbing Dumfries,"Visit McRobert Plumbing in Dumfries. Show them their site on your phone — Joomla CMS, no contact form, fax number visible in 2026. Nearly 70 years in business, invisible on mobile search. Package: £895 trade website with contact form + service area pages + GBP setup at £150. 20+ Google reviews at 4.0 stars — the reputation is there, just not the website. Score 8.4/10.",market-intelligence/07-prospect-hot-list.md #12,30,Pending
2,Week 4,Cold Email,Send Abbey Cottage Tearoom cold email,"Send Food & Drink Email 1 to Abbey Cottage Tearoom (abbeycottagetearoom.com, New Abbey DG2, 6 miles from Dumfries). {{outreach_hook}}: '400+ Google reviews at 4.7 stars — the product is clearly exceptional, but there's no online booking for afternoon tea and your menu isn't searchable on Google.' Package: £1,200-1,800 with booking integration + SEO targeting 'tearoom near Sweetheart Abbey'. Score 8.6/10.",market-intelligence/email-sequences.md Food & Drink sequence Email 1 + market-intelligence/07-prospect-hot-list.md #9,15,Pending
2,Week 4,Cold Email,Send Dark Sky Ranger cold email,"Send custom email to Dark Sky Ranger (darkskyranger.co.uk). Do NOT use a generic template. Lead with the specific broken element: 'Your email signup form has the text \"some-randome-random\" in the code — it's broken and losing you subscribers.' Then: 4.9 stars on Google, clearly in demand, but a Wix site with no booking calendar and an empty tour schedule table. Package: £2,000-3,000. Score 9.2/10.",market-intelligence/07-prospect-hot-list.md #3 + market-intelligence/11-ninety-day-sales-plan.md Week 7-8,20,Pending
2,Week 4,Cold Email,Send Ardchoille Guest House cold email,"Send Accommodation Email 1 to Ardchoille Guest House (ardchoilleguesthouse.co.uk, Portpatrick DG9). {{outreach_hook}}: 'You're 100 yards from the harbour in one of D&G's most visited villages, but your website has broken Google+ links and no mobile layout — invisible to tourists searching 'B&B Portpatrick' on their phones in the village car park.' Package: £1,200-1,800 with FreeToBook + local SEO. Score 9.1/10.",market-intelligence/email-sequences.md Accommodation sequence Email 1 + market-intelligence/07-prospect-hot-list.md #4,15,Pending
2,Week 4,Social Media,Post Facebook Value Post 1 — D&G website data,"Post 'Value Post 1' from facebook-engagement-plan.md in the 'Dumfries & Galloway Business Network' group ONLY this week. Post text verbatim (the post about the proportion of D&G businesses with no working website). Sign off as 'Akin, Nith Digital (nithdigital.uk)'. Respond to every comment. If anyone asks what you do, answer briefly and offer to chat — do NOT paste a sales pitch.",market-intelligence/facebook-engagement-plan.md Value Post 1 + Week 2 calendar,20,Pending
2,Week 4,Admin,Email D&G Digital Health Report to local press,"Go to /admin/health-report on the Nith Digital site. Copy the full report text. Email it to: (1) Dumfries Courier — find editor/news contact at dumfriesstandard.co.uk or via their masthead; (2) D&G Life magazine — contact at dglife.co.uk. Subject: 'D&G Business Digital Health Report — data on local businesses online'. Position as a local interest data story. This is PR, not advertising — do not mention prices.",market-intelligence/11-ninety-day-sales-plan.md + admin/health-report page,45,Pending
2,Week 5,Networking,Attend Business Gateway D&G digital workshop,"Go to bgatewaydumgal.com/workshops and find the next available digital marketing or website workshop for D&G businesses. Register and attend as a participant — do not pitch. Network with the business owners attending. Ask the facilitator afterwards how to be listed as a recommended digital supplier. These workshops are attended by exactly the kind of SME owners you want to reach.",market-intelligence/11-ninety-day-sales-plan.md Weeks 5-6,180,Pending
2,Week 5,Cold Email,Send Brighouse Bay Trekking cold email,"Send Tourism & Attractions Email 1 to Brighouse Bay Trekking (brighousebaytrekking.weebly.com, Kirkcudbright). {{outreach_hook}}: 'You're TRSS-approved, established since the 1970s, and adjacent to a 5-star holiday park — but the site has two low-res images, no pricing, no booking, and runs on code from 2009. You're invisible to hundreds of holidaymakers next door.' Package: £1,800-2,500 with FareHarbor/Checkfront booking + SEO. Score 9.3/10.",market-intelligence/email-sequences.md Tourism sequence Email 1 + market-intelligence/07-prospect-hot-list.md #2,15,Pending
2,Week 5,Social Media,Post Facebook Value Post 2 — GBP free tool tip,"Post 'Value Post 2' from facebook-engagement-plan.md in 'Business in D&G' or 'Nithsdale Business & Community' group. Post text verbatim (the post about claiming Google Business Profile — free, takes 20 minutes). Do NOT post the same text to multiple groups same day. Respond to every comment.",market-intelligence/facebook-engagement-plan.md Value Post 2 + Week 3 calendar,20,Pending
2,Week 6,Social Media,Post Facebook Value Post 3 — Google reviews,"Post 'Value Post 3' from facebook-engagement-plan.md in 'Support Local Dumfries' group. Post verbatim (the post about how Google reviews affect search rankings — the 'two plumbers' example). Lighter tone for this group. Offer to show people their review link in the comments. Respond to all replies promptly.",market-intelligence/facebook-engagement-plan.md Value Post 3 + Week 3 calendar,20,Pending
2,Week 6,Cold Email,Send GM Construction cold email,"Send Trades Email 1 to GM Construction (gmconstruction.co.uk, Dumfries). {{outreach_hook}}: 'Your gallery section has placeholder SVG images instead of actual project photos — the portfolio exists but the photos aren't loading, leaving the showcase section effectively empty.' Quick win: load proper photography + 4-5 case studies + Google Ads targeting 'builder Dumfries'. Package: £800-1,200. Score 7.8/10.",market-intelligence/email-sequences.md Trades sequence Email 1 + market-intelligence/07-prospect-hot-list.md #20,15,Pending
3,Week 7,Social Media,Post Facebook Value Post 4 — trades tip,"Post 'Value Post 4' from facebook-engagement-plan.md in 'D&G Trades & Local Services' group. Post verbatim (the tradespeople tip about GBP + 10 Google reviews, no website needed). This group is a direct source of your best-fit clients. Respond to every comment, especially tradespeople who ask follow-up questions.",market-intelligence/facebook-engagement-plan.md Value Post 4 + Week 4 calendar,20,Pending
3,Week 7,Cold Email,Send Bell Ogilvy Accountants cold email,"Send Professional Services Email 1 to Bell Ogilvy Chartered Accountants (bellogilvy.co.uk, 36 King Street Castle Douglas DG7). {{outreach_hook}}: 'Your site runs on totalSOLUTION CMS — no team bios, no testimonials, no blog. You list Xero, QuickBooks and FreeAgent as partners which shows you're not Luddites, but the website doesn't reflect modern accounting practice.' Package: £1,800-2,500 WordPress rebuild. Score 8.0/10.",market-intelligence/email-sequences.md Professional Services sequence Email 1 + market-intelligence/07-prospect-hot-list.md #16,15,Pending
3,Week 7,Cold Email,Send Barstobrick Riding Centre cold email,"Send Tourism Email 1 to Barstobrick Riding Centre (barstobrickridingcentre.com, Castle Douglas, 650-acre estate). {{outreach_hook}}: 'You have two separate websites for riding and lodges — which creates a confusing experience for visitors who want to combine a riding lesson with a lodge stay.' Pitch a unified activity/accommodation site with booking calendars for each stream (lessons, treks, livery, lodge stays). Package: £2,000-3,000. Score 7.9/10.",market-intelligence/email-sequences.md Tourism sequence Email 1 + market-intelligence/07-prospect-hot-list.md #18,15,Pending
3,Week 8,Social Media,Post Facebook Value Post 5 — seasonal tip,"Post 'Value Post 5' from facebook-engagement-plan.md in 'Dumfries & Galloway Community Forum' group. Post verbatim (the spring/summer seasonal tip for tourism, food, and accommodation businesses — 'Now is the time, not June'). Particularly relevant given current season (April 2026). Respond to anyone who says their website isn't mobile-friendly — offer a free look.",market-intelligence/facebook-engagement-plan.md Value Post 5 + Week 4 calendar,20,Pending
3,Week 8,Cold Email,Send Portpatrick Hotel cold email,"Send Accommodation Email 1 to Portpatrick Hotel (portpatrickhotel.co.uk, Portpatrick DG9). {{outreach_hook}}: '600+ Google reviews — you're clearly a high-traffic business. But there's no clear booking widget on your site, which means you're losing direct bookings to Booking.com on every single enquiry.' Package: SEO audit + booking widget + direct booking incentive campaign at £1,500-2,500. Score 7.8/10.",market-intelligence/email-sequences.md Accommodation sequence Email 1 + market-intelligence/07-prospect-hot-list.md #19,15,Pending
3,Week 9,Networking,Attend SOSE business support event,"Go to southofscotlandenterprise.com/events and find the next SOSE event — particularly any tourism sector events or business roundtables. Register and attend. Introduce yourself as a local digital agency. SOSE advisers often recommend suppliers to their clients. Particularly relevant: any SOSE tourism sector events (B&Bs and activity operators are your ideal clients).",market-intelligence/11-ninety-day-sales-plan.md Weeks 5-6,180,Pending
3,Week 10,Cold Email,Send Rennie Accountants follow-up email 2,"Send Professional Services Email 2 (Value Add) to Rennie Accountants if Email 1 (sent Week 2) was opened but not replied. Subject: 'Local search for accountants in Dumfries — what the data shows.' Streak will show open status. Send on day 5 from Email 1 send date. If they replied positively, book a call and prepare a one-page proposal within 48 hours.",market-intelligence/email-sequences.md Professional Services sequence Email 2,10,Pending
3,Week 10,Cold Email,Send GM Thomson Estate Agents follow-up email 2,"Send Property Email 2 (Rightmove dependency angle) to GM Thomson if Email 1 opened but not replied. Subject: 'The Rightmove dependency problem — GM Thomson'. Streak open tracking. Send on day 5 from Email 1. {{outreach_hook}}: ASP-era site, four offices, 70 years reputation. If positive reply, book a visit and prepare proposal within 48 hours. Score 8.8/10.",market-intelligence/email-sequences.md Property sequence Email 2,10,Pending
3,Week 11,Cold Email,Send Templand Cottages follow-up email 2,"Send Accommodation Email 2 (Booking.com commission argument) to Templand Cottages if Email 1 opened but not replied. Subject: 'The Booking.com commission problem — Templand Cottages.' Average D&G B&B pays £1,200-2,500/year in OTA commissions. Their WordPress/Divi site looks reasonable but has NO booking calendar at all. Package: £1,500-2,000 for SuperControl/Smoobu integration. Score 8.3/10.",market-intelligence/email-sequences.md Accommodation sequence Email 2,10,Pending
3,Week 12,Networking,Attend D&G Chamber end-of-quarter event,"Check dgchamber.co.uk/events for June 2026 Chamber event (business breakfast, luncheon, or evening event). Attend. By this point you should have a recognisable name in the Chamber network from the Week 2 event. Target: follow up with anyone you met at the first event who expressed interest. Bring updated business cards if anything has changed. Plan Q3 networking calendar.",market-intelligence/11-ninety-day-sales-plan.md Weeks 11-12,120,Pending
